gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
-0.0305;-0.0916;0.0916;9.8294;-69.8738;0.8541
-0.0916;-0.0153;0.0153;-16.3716;-32.5549;0.8568
-0.0763;0.1374;0.0763;-36.8985;-16.8489;0.8594
-0.0305;0.0000;0.0458;-44.9505;44.9505;0.8625
-0.0305;0.0611;0.1069;-59.1057;10.9932;0.8652
-0.0153;0.0763;0.1374;-36.8699;-0.0000;0.8679
-0.0611;-0.0305;0.0000;18.4349;-0.0000;0.8707
-0.0153;0.0763;0.0000;-16.6085;16.6085;0.8735
0.0305;0.0458;0.0000;-16.3357;8.0844;0.8761
-0.0305;0.0763;0.0153;-21.4467;41.1586;0.8788
0.1069;0.0458;0.0305;0.0000;-65.2249;0.8813
0.0305;0.1221;-0.0305;-9.2678;-65.8683;0.8843
0.0611;0.2137;-0.0153;-14.3408;-75.0133;0.8869
0.0611;0.1069;-0.0611;-23.1051;-66.2973;0.8895
0.0305;0.2137;-0.0763;-5.1921;-54.5331;0.8925
0.0153;0.2901;-0.1069;10.7724;-78.8919;0.8953
-0.0153;0.2290;-0.1069;15.5014;-53.3008;0.8978
0.0458;0.2290;-0.1069;11.6407;-11.6407;0.9004
-0.0305;0.0305;-0.0153;2.8841;-49.0020;0.9035
0.0305;-0.0458;0.0000;19.6857;-57.3681;0.9064
0.0000;-0.0763;0.0153;6.6643;-80.5538;0.9092
0.1221;0.0000;0.1069;-8.4043;-80.5952;0.9123
0.0458;0.1679;0.0916;-28.4721;-59.1057;0.9150
0.0305;0.1985;0.0611;21.3710;-56.4006;0.9175
-0.0458;0.1069;0.0153;-31.8306;-54.5960;0.9201
-0.0305;0.1527;0.0000;-2.1692;-24.6047;0.9231
-0.0305;0.1679;0.0611;-46.6366;-18.8515;0.9258
0.0000;0.0458;-0.0763;-30.8930;19.0705;0.9284
-0.0763;-0.0458;-0.0611;10.7619;8.5912;0.9309
0.0763;-0.1069;-0.0611;-27.4088;7.2123;0.9339
-0.0153;0.1221;0.0611;-55.9467;-5.2820;0.9366
-0.0305;0.2137;0.1374;-53.5460;-2.4262;0.9391
-0.0763;0.1221;0.0611;-28.0725;-0.0000;0.9419
-0.0763;0.0305;0.0305;-32.3115;15.5014;0.9447
0.0153;0.1221;0.0458;-72.4030;-4.2049;0.9472
0.0153;0.1985;0.0153;-67.8337;-0.0000;0.9498
0.1527;0.0763;0.0305;-39.8588;-11.5534;0.9527
0.1679;0.0916;0.1069;18.1005;-10.7434;0.9554
0.0763;0.0458;0.0458;21.6279;-7.0571;0.9580
0.0153;0.0916;0.1374;12.1551;-20.5443;0.9606
-0.0305;0.1221;0.0763;-57.6437;11.4645;0.9637
0.0153;0.0611;0.0000;-48.8356;17.9372;0.9665
0.0305;0.1374;0.0458;-24.8087;30.2324;0.9691
0.0763;-0.0153;0.0916;-48.5271;5.3741;0.9719
-0.0763;-0.1374;-0.0763;-24.0570;-14.5283;0.9748
0.0305;-0.1985;0.0000;-11.0326;-12.6331;0.9774
-0.0153;-0.1374;-0.0305;1.4840;-16.5514;0.9799
-0.0611;-0.1832;0.0153;5.7682;-44.7106;0.9829
-0.0763;-0.1374;0.1069;17.5028;-2.8732;0.9857
-0.0458;-0.0305;0.1374;9.5523;21.9244;0.9882
-0.0916;0.0458;0.0916;-14.7414;68.9086;0.9909
-0.2290;0.0305;0.0000;-41.1251;10.5268;0.9940
-0.0916;-0.0153;0.0305;-27.6085;10.0080;0.9965
0.0000;-0.0916;-0.0458;0.0000;-90.0000;0.9991
0.0000;-0.0763;0.0305;2.3358;-78.0053;1.0018
-0.0153;-0.0305;-0.1069;-15.1584;-58.1939;1.0043
