ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0022;-0.0054;0.0024;0.0063;0.5038
0.0046;0.0020;0.0039;0.0064;0.5050
0.0054;0.0044;0.0000;0.0069;0.5060
-0.0042;0.0002;0.0037;0.0055;0.5070
0.0020;-0.0029;-0.0085;0.0092;0.5083
0.0020;-0.0020;-0.0056;0.0063;0.5096
-0.0029;-0.0012;-0.0029;0.0043;0.5109
-0.0024;0.0007;-0.0007;0.0027;0.5123
0.0017;0.0002;-0.0007;0.0019;0.5146
0.0022;0.0000;-0.0042;0.0047;0.5160
0.0029;-0.0002;-0.0015;0.0033;0.5175
0.0015;-0.0012;-0.0066;0.0069;0.5188
0.0000;-0.0005;0.0002;0.0005;0.5200
-0.0010;0.0029;0.0039;0.0050;0.5212
0.0000;0.0042;0.0010;0.0043;0.5224
0.0012;0.0000;-0.0042;0.0043;0.5240
0.0037;0.0002;0.0032;0.0049;0.5256
-0.0037;-0.0015;0.0002;0.0040;0.5271
0.0002;-0.0007;-0.0015;0.0017;0.5284
-0.0007;-0.0017;-0.0029;0.0035;0.5296
0.0007;0.0042;0.0054;0.0068;0.5309
0.0007;-0.0049;0.0037;0.0061;0.5325
0.0005;-0.0046;0.0059;0.0075;0.5347
-0.0002;0.0034;-0.0042;0.0054;0.5360
0.0002;0.0015;-0.0020;0.0025;0.5373
0.0024;0.0039;-0.0022;0.0051;0.5385
0.0032;-0.0012;0.0015;0.0037;0.5397
0.0007;-0.0037;0.0007;0.0038;0.5408
0.0012;0.0012;-0.0095;0.0097;0.5419
0.0022;-0.0020;-0.0005;0.0030;0.5436
0.0020;-0.0015;-0.0032;0.0040;0.5446
0.0024;0.0002;-0.0039;0.0046;0.5455
0.0063;-0.0005;0.0020;0.0067;0.5466
0.0022;-0.0007;-0.0037;0.0043;0.5475
0.0032;-0.0005;0.0159;0.0162;0.5484
-0.0007;-0.0051;0.0142;0.0151;0.5494
-0.0056;-0.0054;0.0049;0.0092;0.5504
0.0000;-0.0002;-0.0002;0.0003;0.5513
-0.0027;0.0022;-0.0010;0.0036;0.5522
-0.0049;-0.0020;-0.0029;0.0060;0.5531
0.0039;0.0012;0.0029;0.0050;0.5541
0.0076;0.0000;-0.0002;0.0076;0.5549
0.0034;0.0032;-0.0027;0.0054;0.5566
0.0017;0.0046;-0.0100;0.0112;0.5576
-0.0029;0.0015;-0.0027;0.0042;0.5584
0.0022;0.0002;-0.0020;0.0029;0.5593
-0.0044;-0.0007;-0.0002;0.0045;0.5602
-0.0044;0.0000;-0.0010;0.0045;0.5611
-0.0044;-0.0044;-0.0039;0.0073;0.5620
-0.0046;-0.0029;0.0002;0.0055;0.5630
0.0017;-0.0066;0.0017;0.0070;0.5647
0.0044;0.0010;0.0034;0.0057;0.5656
0.0002;0.0010;-0.0037;0.0038;0.5665
-0.0012;0.0010;-0.0017;0.0023;0.5674
0.0022;0.0051;0.0010;0.0057;0.5683
0.0022;0.0054;0.0049;0.0076;0.5692
-0.0022;0.0015;0.0049;0.0056;0.5703
0.0010;-0.0017;0.0007;0.0021;0.5713
0.0029;0.0037;0.0059;0.0075;0.5722
